crp_nm,crp_nm_e,crp_nm_i,stock_cd,ceo_nm,crp_cls,crp_no,bsn_no,adr,hm_url,ir_url,phn_no,fax_no,ind_cd,est_dt,acc_mt
주오르비텍,Orbitech Co Ltd,오르비텍,046120,각자대표 강상원 권동혁,K,1101110753734,1128127107,서울특별시 금천구 범안로 1130 8층가산동 가산디지털엠파이어,orbitech.co.kr,,028522223,028611298,7291,19910305,12
롯데카드주식회사,LOTTE CARD Coltd,롯데카드,,김창권,E,1101110641434,1208154231,서울특별시 중구 소월로 3 롯데손해보험빌딩,www.lottecard.co.kr,,20502127,20502240,64913,19890801,12
주유니테스트,UniTestInc,유니테스트,086390,김종현,K,1311110047356,1298133266,경기도 용인시 기흥구 기곡로 27 주유니테스트,www.uni-test.com,,0312056111,0312035886,29271,20000321,12
주휴벡셀,HUVEXEL COLTD,휴벡셀,212310,허성규,N,1101113559238,2128177552,경기도 성남시 중원구 사기막골로 124 101105호상대원동 에스케이엔테크노파크 메가센터동,www.diomedical.com,,0317763690,0317763691,27192,20061110,12
주쏠리드,Solid Inc,쏠리드,050890,정준 이승희 각자대표이사,K,1101111603764,2158172901,경기도 성남시 분당구 판교역로 220 쏠리드스페이스,www.solid.co.kr,,0316276000,0316276009,2642,19981105,12
주셀트리온스킨큐어,Celltrion Skincure Co Ltd,셀트리온스킨큐어,,성종훈,E,1101111995723,1058613560,서울특별시 서초구 강남대로 601 잠원동 셀트리온스킨큐어빌딩 7층,www.celltrionskincure.com,,0262001100,0260129556,46443,20000615,12
주텔레필드,TelefieldInc,텔레필드,091440,박노택,K,1101112072330,1208611843,경기도 성남시 분당구 판교로 255 이301삼평동 판교이노밸리,www.telefield.com,,0317305900,0317305999,26410,20000920,12
한화토탈 주식회사,HANWHA TOTAL PETROCHEMICAL Co Ltd,한화토탈,,권혁웅 장막 오테로 델발,E,1614110013066,3168104477,충청남도 서산시 대산읍 독곶2로 103,www.hanwha-total.com,,0234159334,0234159310,20111,20030801,12
우림기계주,WOORIM MACHINERY Co Ltd,우림기계,101170,한규석,K,1942110039934,6098140851,경상남도 창원시 성산구 남면로 613 우림기계,www.woorimgear.co.kr,,0552600300,0552861559,29142,20000301,12
주매직마이크로,MAGICMICRO COLTD,매직마이크로,127160,장원,K,2801110076686,1278600798,경기도 안산시 단원구 신원로133번길 15 ,www.magicmicro.co.kr,,07086803792,0313633920,262,20060811,12
주티피씨메카트로닉스,TPC Mechatronics Corporation,TPC,048770,엄주섭 엄재윤,K,1101110245575,1098114912,인천광역시 서구 갑문2로 39 오류동 단해창도클러스터,www.TPCpage.com,,032 572 1700,0325736665,29142,19790123,12
한국철강주,KISCO Corp,한국철강,104700,문종인 이수하 각자대표,Y,1942110094318,6098184470,경상남도 창원시 성산구 공단로103번길 12 한국철강주,www.kisco.co.kr,,0552600500,027054525,2411,20080903,12
주노바렉스,NOVAREX Co Ltd,노바렉스,194700,권석형,K,1501110120399,3178111175,충청북도 청주시 청원구 오창읍 각리1길 94,www.novarex.co.kr,www.novarex.co.kr,025870019,025870021,10797,20081127,12
주식회사 스마트골프,SMART GOLF COLTD,스마트골프,,박지형,E,1357110098626,1268673769,경기도 의정부시 부용로219번길 45 5층 501호505호 용현동 용현빌딩,www.smartscreen.kr/,,0234633130,0234633110,33999,20140121,12
한전산업개발주,Korea Electronic Power Industrial Development Co Ltd,한전산업,130660,홍원의,Y,1101110692875,2038158148,서울특별시 중구 서소문로 115 한산빌딩,www.kepid.co.kr,,0222502700,0222502779,72129,19900411,12
대상주,DAESANG CORPORATION,대상,001680,임정배 정홍언 각자 대표이사,Y,1101110327125,1098114886,서울특별시 동대문구 천호대로 26,www.daesang.co.kr,,0222209500,0222209870,1074,19560131,12
주옵트론텍,OPTRONTEC Inc,옵트론텍,082210,홍사관 임지윤,K,1601110082513,3148126169,경상남도 창원시 의창구 평산로8번길 1915 팔용동,www.optrontec.com,,0423601510,03180384711,273,19990526,12
옵티시스주,OPTICIS CO LTD,옵티시스,109080,신현국,K,1301110056407,1248167679,경기도 성남시 분당구 정자일로 166 7층정자동SPG Dream 빌딩,www.opticis.com,,0317198033,0317198032,26410,19991129,12
성보화학주,SUNGBO CHEMICAL COLTD,성보화학,003080,윤정선,Y,1147110000402,1288100011,경기도 안산시 단원구 산단로19번길 168 목내동 성보화학주식회사,www.sbcc.kr,,0237893800,07042750301,2032,19610106,12
세방주,SEBANG CO LTD,세방,004360,최종일,Y,1801110015932,6178103842,부산광역시 남구 북항로 141,www.global.co.kr,,0516305300,025559165,49301,19650913,12
에스케이제3호기업인수목적주,SK NO3 SPECIAL PURPOSE ACQUISITION CO LTD,SK3호스팩,232330,이지영,K,1101115874072,1138800264,서울특별시 영등포구 국제금융로8길 31 여의도동 에스케이증권빌딩,,,0237738373,0237738301,661,20151028,12
주식회사 에스엔피월드,SP WORLD LTD,에스엔피월드,263920,이종국 지영주 각자 대표이사,K,1201110290289,1378146699,인천광역시 서구 원적로7번길 29 주에스엔피월드,www.snpworld.com,,0325840789,0325840787,33999,20020625,12
케이티파워텔 주식회사,Korea Telecom Powertel,케이티파워텔,,김우식,E,1101110414344,1168137548,서울특별시 양천구 목동서로 201 KT정보전산센터 19층 KT파워텔,www.ktp.co.kr,,0221660130,0221660114,61220,19851230,12
