crp_nm,crp_nm_e,crp_nm_i,stock_cd,ceo_nm,crp_cls,crp_no,bsn_no,adr,hm_url,ir_url,phn_no,fax_no,ind_cd,est_dt,acc_mt
주노루페인트,NOROO PAINT  COATINGS CoLTD,노루페인트,090350,김용기 진명호각자 대표이사,Y,1341110142575,1238606034,경기도 안양시 만안구 박달로 351,-,,0314676114,0314461061,20411,20060602,12
주녹원씨엔아이,Nokwon Commercials  Industries Inc,녹원씨엔아이,065560,안성호 정유석 각자대표이사,K,1101110529747,2148113888,경기도 파주시 신촌2로 712 ,www.nokwonci.co.kr,,0220256500,0220256511,467,19870507,12
주식회사 코캄,Kokam CoLtd,코캄,,정충연,E,1101111125403,2298118003,경기도 수원시 장안구 경수대로1220번길 3078,www.kokam.com,,0313620100,0313620199,28202,19950203,12
주식회사 제이티비씨,JTBC Co Ltd,제이티비씨,,김수길 홍정도,E,1101114560268,1048633995,서울특별시 마포구 상암산로 486 상암동,www.jtbc.co.kr/,,027516000,027516076,60222,20110321,12
에이치디씨현대이피주,HDC Hyundai Engineering Plastics Co Ltd,HDC현대EP,089470,강창균,Y,1650110006768,3118113651,충청남도 당진시 석문면 대호만로 122132 현대EP 주식회사,www.hyundai-ep.com,,0413500500,0413500505,204,20000115,12
주삼기오토모티브,SAMKEE AUTOMOTIVE COLTD,삼기오토모티브,122350,김남곤 김치환,K,1101114249458,1068669145,경기도 평택시 포승읍 도곡리 1217,www.samkee.com,,0316800826,0237819650,303,20091224,12
주심텍홀딩스,SIMMTECH HOLDINGS Co Ltd,심텍홀딩스,036710,박광준,K,1501110006185,3158101652,충청북도 청주시 흥덕구 산단로 73,www.simmtechholdings.co.kr,,0439098000,0432699048,64992,19870824,12
주코아시아,CoAsia Corporation,코아시아,045970,이희준위종묵각자 대표이사,K,1101110944622,2148155613,인천광역시 남동구 남동서로 193 주비에스이홀딩스,www.bsecm.com,,0325001721,0317242521,739,19930525,12
주CMG제약,CMG Pharmaceutical Co Ltd,CMG제약,058820,이주형,K,1350110115846,1348171976,서울특별시 강남구 도산대로66길 14 청담동,www.skynewpharm.com,,0234538816,0318817670,212,20010801,12
오션브릿지주,OCEANBRIDGE CO LTD,오션브릿지,241790,이경주,K,1101114809963,1198653348,경기도 안성시 양성면 동항공단길 49,www.oceanbridge.co.kr,,03180529030,03180528103,2049,20120302,12
코리아세븐주,KOREA SEVEN CO LTD,코리아세븐,,정승인,E,1101110899976,2088127413,서울특별시 중구 청계천로 100 수표동 시그니쳐타워,www.7-eleven.co.kr,,0215770711,0226718414,4610,19990516,12
CS 홀딩스주,CS Holdings CoLtd,CS홀딩스,000590,장원영,Y,1101110008486,2208113170,경상북도 포항시 남구 괴동로 43 장흥동,www.chosunwelding.com,,0234599363,0522373311,64992,19490112,12
주셀리드,Cellid Co Ltd,셀리드,299660,강창율,K,1101113572636,1198194247,서울시 관악구 관악로 1 서울대학교 142동 5층,www.cellid.co.kr,,0232857860,0232857866,701,20061201,12
에스케이씨코오롱피아이주,SKC KOLON PI Inc,SKC코오롱PI,178920,김태림,K,1543110022729,3018197858,충청북도 진천군 이월면 고등1길 27,www.skckolonpi.com,www.skckolonpi.com,0314368600,0314368608,2221,20080602,12
KISCO홀딩스주,KISCO Holdings Corp,KISCO홀딩스,001940,장세홍 이병제 각자대표,Y,1901110001872,6088100778,경상남도 창원시 성산구 공단로103번길 12 한국철강주,www.kiscoholdings.co.kr,www.kiscoholdings.co.kr,0552600500,0552833429,64992,19570219,12
주혜인,HAEIN CORPORATION,혜인,003010,원경희,Y,1101110030413,1208127641,서울특별시 서초구 동산로 86 혜인빌딩,www.haein.com,,0234984500,0234984579,465,19601017,12
자이글주,Zaigle Co Ltd,자이글,234920,이진희,K,2850110153481,1288635873,서울특별시 강서구 허준로 217 11층 1114호,www.zaigle.com,,0236659192,0236659195,28511,20081230,12
금강철강주,KEUM KANG STEEL CO LTD,금강철강,053260,주광남 주성호각자 대표,K,1101110207799,2028109038,서울특별시 서초구 서운로 19 701호서초동 서초월드오피스텔,www.kksteel.co.kr,,0234710001,0234744545,2419,19770112,12
주아이센스,iSENS Inc,아이센스,099190,차근식,K,1101111960924,2108129428,서울특별시 서초구 반포대로28길 43 아이센스 빌딩,www.i-sens.com,,029166191,,27112,20000504,12
주비지에프리테일,BGF retail CO LTD,BGF리테일,282330,박재구,Y,1101116555770,8938800792,서울특별시 강남구 테헤란로 405 BGF사옥,www.bgfretail.com,,15773663,025286820,47122,20171101,12
주지에스리테일,GS Retail CoLtd,GS리테일,007070,허연수,Y,1101110090037,1168118745,서울특별시 강남구 논현로 508GS타워역삼동 679,www.gsretail.com,,0220051114,20063489,47122,19710213,12
주국민은행,KOOKMIN BANK,국민은행,060000,허인,E,1101112365321,2018168693,서울특별시 영등포구 국제금융로8길 26 여의도동,www.kbstar.com,,0220737114,0220737150,64121,20011101,12
주비즈니스온커뮤니케이션,BusinessOn Communication CoLtd,비즈니스온,138580,윤호권,K,1101113805293,2208758882,서울특별시 성동구 광나루로 172 3층,www.businesson.co.kr,,025590800,025590808,58222,20071218,12
주휴비츠,Huvitz Co Ltd,휴비츠,065510,김현수,K,1341110065636,1238148801,경기도 안양시 동안구 부림로 170번길 38 관양동,www.huvitz.com,,0314428868,0314779021,27199,19990427,12
주코렌텍,Corentec Co Ltd,코렌텍,104540,선두훈선승훈각자 대표이사,K,1101111983653,1078184746,충청남도 천안시 서북구 입장면 영산홍1길 12,www.corentec.com,,0415857114,0415857113,27192,20000530,12
주드림시큐리티,Dream Security CoLtd,드림시큐리티,203650,범진규,K,1101115448356,1078822434,서울특별시 송파구 중대로8길 8 3층 5층 6층 7층 문정동 서경빌딩,www.dreamsecurity.com,,0222335533,024023622,582,20140625,12
주쇼박스,SHOWBOX Corp,쇼박스,086980,황순일 김도수공동대표,K,1101111712309,1068179629,서울특별시 강남구 도산대로 310논현동 916빌딩 79층,www.showbox.co.kr,,0232185500,0234526697,59130,19990610,12
주홈캐스트,homecast CO LTD,홈캐스트,064240,권영철,K,1101111954513,2158191010,서울특별시 강남구 언주로 726 두산빌딩 14층논현동,www.homecast.net,,0234008300,0234458782,26519,20000427,12
주식회사 애니원,ANYONE INC,애니원,,곽영진,E,1601110283137,3148616860,충청남도 천안시 동남구 수신면 5산단6로 45 신풍리 주애니원,www.anyonetape.com,,0414103510,0414103519,2229,20100728,12
주나노메딕스,NANOMEDICS Co Ltd,나노메딕스,074610,정영우,Y,1355110144291,1348608314,경기도 화성시 비봉면 현대기아로 81811,www.en3.co.kr,,0313669600,0313669605,29193,20031203,12
화성산업주,HWASUNG INDUSTRIAL COLTD,화성산업,002460,이홍중이종원,Y,1701110001131,5018100050,대구광역시 수성구 동대구로 111,www.hwasung.com,,0537672111,0537643366,41112,19580901,12
스튜디오드래곤주,Studio Dragon Corporation,스튜디오드래곤,253450,최진희,K,1101116052164,7478100388,서울특별시 마포구 매봉산로 75 1701호 상암동 디디엠씨,www.studiodragon.net,,023717076,0221460988,59114,20160503,12
주코엔텍,Korea Environment Technology Co LTD,코엔텍,029960,이민석,K,1812110024485,6108116574,울산광역시 남구 용잠동 산 157,www.koentec.co.kr,,0522287300,0522287270,38210,19930716,12
모바일어플라이언스 주식회사,MOBILE APPLIANCE INC,모바일어플라이언스,087260,이재신,K,1311110115054,1298172027,경기도 안양시 동안구 시민대로 401,www.mobileappliance.co.kr,,0314218071,0317778076,582,20040416,12
