crp_cls,crp_nm,crp_cd,rpt_nm,rcp_no,flr_nm,rcp_dt,rmk
E,자유투어,00343127,사업보고서 (2018.12),20190401002174,자유투어,20190401,
K,SCI평가정보,036120,사업보고서 (2018.12),20190401002173,SCI평가정보,20190401,연
Y,백산,035150,사업보고서 (2018.12),20190401002171,백산,20190401,연
K,서희건설,035890,사업보고서 (2018.12),20190401002168,서희건설,20190401,연
K,동양피엔에프,104460,사업보고서 (2018.12),20190401002167,동양피엔에프,20190401,연
K,나노스,151910,사업보고서 (2018.12),20190401002166,나노스,20190401,연
Y,영화금속,012280,사업보고서 (2018.12),20190401002165,영화금속,20190401,
N,앤유엔터테인먼트,266170,사업보고서 (2018.12),20190401002162,앤유엔터테인먼트,20190401,연
E,지아이티,00392770,사업보고서 (2018.12),20190401002161,지아이티,20190401,
K,레드로버,060300,사업보고서 (2018.12),20190401002159,레드로버,20190401,연
K,키이스트,054780,사업보고서 (2018.12),20190401002155,키이스트,20190401,연
E,더존다스,00463449,사업보고서 (2018.12),20190401002148,더존다스,20190401,
Y,종근당바이오,063160,사업보고서 (2018.12),20190401002146,종근당바이오,20190401,
K,베스파,299910,사업보고서 (2018.12),20190401002145,베스파,20190401,연
E,바로코사,00496207,사업보고서 (2018.12),20190401002144,바로코사,20190401,연
K,디바이스이엔지,187870,사업보고서 (2018.12),20190401002139,디바이스이엔지,20190401,
K,링네트,042500,사업보고서 (2018.12),20190401002138,링네트,20190401,연
E,수양켐텍,00963684,사업보고서 (2018.12),20190401002137,수양켐텍,20190401,
Y,SK가스,018670,사업보고서 (2018.12),20190401002132,SK가스,20190401,연
K,코위버,056360,사업보고서 (2018.12),20190401002131,코위버,20190401,연
Y,삼양식품,003230,사업보고서 (2018.12),20190401002128,삼양식품,20190401,연
K,대명코퍼레이션,007720,사업보고서 (2018.12),20190401002123,대명코퍼레이션,20190401,연
Y,한올바이오파마,009420,사업보고서 (2018.12),20190401002117,한올바이오파마,20190401,연
Y,CJ CGV,079160,사업보고서 (2018.12),20190401002116,CJ CGV,20190401,연
E,대영씨엔이,01011182,사업보고서 (2018.12),20190401002115,대영씨엔이,20190401,
Y,영풍제지,006740,사업보고서 (2018.12),20190401002111,영풍제지,20190401,
Y,유한양행,000100,사업보고서 (2018.12),20190401002104,유한양행,20190401,연
Y,신라교역,004970,사업보고서 (2018.12),20190401002094,신라교역,20190401,연
Y,선창산업,002820,사업보고서 (2018.12),20190401002093,선창산업,20190401,연
N,바이오시네틱스,281310,사업보고서 (2018.12),20190401002090,바이오시네틱스,20190401,
Y,대우부품,009320,사업보고서 (2018.12),20190401002086,대우부품,20190401,
Y,일진디스플,020760,사업보고서 (2018.12),20190401002084,일진디스플,20190401,
E,아주산업,00139029,사업보고서 (2018.12),20190401002082,아주산업,20190401,
K,진로발효,018120,사업보고서 (2018.12),20190401002081,진로발효,20190401,연
K,원익IPS,240810,사업보고서 (2018.12),20190401002079,원익IPS,20190401,연
E,나인테크,00967608,사업보고서 (2018.12),20190401002078,나인테크,20190401,
E,한원레저,00876360,사업보고서 (2018.12),20190401002076,한원레저,20190401,정
K,케이사인,192250,사업보고서 (2018.12),20190401002074,케이사인,20190401,연
Y,지투알,035000,사업보고서 (2018.12),20190401002070,지투알,20190401,연
Y,한국화장품제조,003350,사업보고서 (2018.12),20190401002068,한국화장품제조,20190401,
K,동국알앤에스,075970,사업보고서 (2018.12),20190401002066,동국알앤에스,20190401,연
K,에이코넬,033600,사업보고서 (2018.12),20190401002063,에이코넬,20190401,
K,삼영이엔씨,065570,사업보고서 (2018.12),20190401002058,삼영이엔씨,20190401,연
K,세원물산,024830,사업보고서 (2018.12),20190401002057,세원물산,20190401,
K,보라티알,250000,사업보고서 (2018.12),20190401002056,보라티알,20190401,연
Y,NI스틸,008260,사업보고서 (2018.12),20190401002054,NI스틸,20190401,
K,모비스,250060,사업보고서 (2018.12),20190401002052,모비스,20190401,연
K,아이오케이,078860,사업보고서 (2018.12),20190401002050,아이오케이,20190401,연
E,성원아이북랜드,00398950,사업보고서 (2018.12),20190401002049,성원아이북랜드,20190401,
K,ISC,095340,사업보고서 (2018.12),20190401002048,ISC,20190401,연
E,디아메스코,01214345,사업보고서 (2018.12),20190401002047,디아메스코,20190401,
Y,한국화장품,123690,사업보고서 (2018.12),20190401002043,한국화장품,20190401,연
E,씨앤케이인터내셔널,00252755,사업보고서 (2018.12),20190401002042,씨앤케이인터내셔널,20190401,
K,대유에이피,290120,사업보고서 (2018.12),20190401002041,대유에이피,20190401,
K,신원종합개발,017000,사업보고서 (2018.12),20190401002040,신원종합개발,20190401,연
K,지티지웰니스,219750,사업보고서 (2018.12),20190401002037,지티지웰니스,20190401,연
K,태웅,044490,사업보고서 (2018.12),20190401002036,태웅,20190401,
Y,문배철강,008420,사업보고서 (2018.12),20190401002028,문배철강,20190401,
K,케이아이엔엑스,093320,사업보고서 (2018.12),20190401002027,케이아이엔엑스,20190401,연
