crp_cls,crp_nm,crp_cd,rpt_nm,rcp_no,flr_nm,rcp_dt,rmk
K,하나머티리얼즈,166090,사업보고서 (2018.12),20190401000686,하나머티리얼즈,20190401,
Y,동양피스톤,092780,사업보고서 (2018.12),20190401000673,동양피스톤,20190401,연
Y,삼호개발,010960,사업보고서 (2018.12),20190401000671,삼호개발,20190401,연
K,텔루스,196450,사업보고서 (2018.12),20190401000648,텔루스,20190401,연
N,에브리봇,270660,사업보고서 (2018.12),20190401000638,에브리봇,20190401,
K,모트렉스,118990,사업보고서 (2018.12),20190401000636,모트렉스,20190401,연
E,에이디엠,01360477,사업보고서 (2018.12),20190401000629,에이디엠,20190401,
K,디아이티,110990,사업보고서 (2018.12),20190401000616,디아이티,20190401,연
K,티비씨,033830,사업보고서 (2018.12),20190401000615,티비씨,20190401,연
N,아이엘사이언스,122050,사업보고서 (2018.12),20190401000611,아이엘사이언스,20190401,
K,티앤알바이오팹,246710,사업보고서 (2018.12),20190401000604,티앤알바이오팹,20190401,
K,썸에이지,208640,사업보고서 (2018.12),20190401000603,썸에이지,20190401,연
K,윈하이텍,192390,사업보고서 (2018.12),20190401000598,윈하이텍,20190401,
K,서전기전,189860,사업보고서 (2018.12),20190401000592,서전기전,20190401,
K,신한제3호스팩,257730,사업보고서 (2018.12),20190401000589,신한제3호스팩,20190401,
Y,에이프로젠 KIC,007460,사업보고서 (2018.12),20190401000588,에이프로젠 KIC,20190401,연
K,에이피티씨,089970,사업보고서 (2018.12),20190401000585,에이피티씨,20190401,
K,대동스틸,048470,사업보고서 (2018.12),20190401000584,대동스틸,20190401,
N,티씨엠생명과학,228180,사업보고서 (2018.12),20190401000565,티씨엠생명과학,20190401,
Y,대현,016090,사업보고서 (2018.12),20190401000558,대현,20190401,
Y,오리온홀딩스,001800,사업보고서 (2018.12),20190401000545,오리온홀딩스,20190401,연
E,아스트로젠,01324165,사업보고서 (2018.12),20190401000529,아스트로젠,20190401,
E,바이오데이즈,00965789,사업보고서 (2018.12),20190401000528,바이오데이즈,20190401,
K,아가방컴퍼니,013990,사업보고서 (2018.12),20190401000525,아가방컴퍼니,20190401,연
K,에이비엘바이오,298380,사업보고서 (2018.12),20190401000522,에이비엘바이오,20190401,
E,네오플럭스,00364689,사업보고서 (2018.12),20190401000517,네오플럭스,20190401,
E,노바셀테크놀로지,00852096,사업보고서 (2018.12),20190401000515,노바셀테크놀로지,20190401,정
K,넥스턴,089140,사업보고서 (2018.12),20190401000514,넥스턴,20190401,
K,세중,039310,사업보고서 (2018.12),20190401000508,세중,20190401,연
K,조아제약,034940,사업보고서 (2018.12),20190401000506,조아제약,20190401,연
E,제이니몹,01068296,사업보고서 (2018.12),20190401000500,제이니몹,20190401,
Y,오리온,271560,사업보고서 (2018.12),20190401000498,오리온,20190401,연
K,모다,149940,사업보고서 (2018.12),20190401000476,모다,20190401,연
K,나노엔텍,039860,사업보고서 (2018.12),20190401000472,나노엔텍,20190401,연
K,에이텍티앤,224110,사업보고서 (2018.12),20190401000471,에이텍티앤,20190401,연
K,케이엠더블유,032500,사업보고서 (2018.12),20190401000463,케이엠더블유,20190401,연
E,아발론교육,00666383,사업보고서 (2018.12),20190401000462,아발론교육,20190401,연
K,시공테크,020710,사업보고서 (2018.12),20190401000442,시공테크,20190401,연
K,성창오토텍,080470,사업보고서 (2018.12),20190401000441,성창오토텍,20190401,연
K,에스와이패널,109610,사업보고서 (2018.12),20190401000438,에스와이패널,20190401,연
E,골든블루,00560308,사업보고서 (2018.12),20190401000431,골든블루,20190401,
K,SBI인베스트먼트,019550,사업보고서 (2018.12),20190401000425,SBI인베스트먼트,20190401,
E,한겨레신문,00156275,사업보고서 (2018.12),20190401000421,한겨레신문,20190401,
Y,강원랜드,035250,사업보고서 (2018.12),20190401000418,강원랜드,20190401,연
K,캠시스,050110,사업보고서 (2018.12),20190401000416,캠시스,20190401,연
K,동일기연,032960,사업보고서 (2018.12),20190401000408,동일기연,20190401,연
E,시벨코코리아,00301653,사업보고서 (2018.12),20190401000403,시벨코코리아,20190401,
K,IBKS제6호스팩,264850,사업보고서 (2018.12),20190401000391,IBKS제6호스팩,20190401,
K,EMW,079190,[기재정정]사업보고서 (2018.12),20190401000383,EMW,20190401,정연
K,지에스이,053050,사업보고서 (2018.12),20190401000376,지에스이,20190401,
K,국순당,043650,사업보고서 (2018.12),20190401000372,국순당,20190401,연
E,비엠더블유파이낸셜서비스코리아,00414300,사업보고서 (2018.12),20190401000371,비엠더블유파이낸셜서비스코리아,20190401,연
K,원익머트리얼즈,104830,사업보고서 (2018.12),20190401000370,원익머트리얼즈,20190401,연
K,잉크테크,049550,사업보고서 (2018.12),20190401000368,잉크테크,20190401,연
K,에이스테크,088800,사업보고서 (2018.12),20190401000360,에이스테크,20190401,연
K,대동금속,020400,사업보고서 (2018.12),20190401000349,대동금속,20190401,
K,케이피티유,054410,사업보고서 (2018.12),20190401000346,케이피티유,20190401,연
E,한국동서발전,00393636,사업보고서 (2018.12),20190401000326,한국동서발전,20190401,연
K,한국제8호스팩,310870,사업보고서 (2018.12),20190401000315,한국제8호스팩,20190401,
E,아이비케이투자증권,00684918,사업보고서 (2018.12),20190401000314,아이비케이투자증권,20190401,
K,케어젠,214370,사업보고서 (2018.12),20190401000309,케어젠,20190401,연
K,캐스텍코리아,071850,사업보고서 (2018.12),20190401000307,캐스텍코리아,20190401,연
E,세왕,00609254,사업보고서 (2018.12),20190401000301,세왕,20190401,연
K,남화산업,111710,사업보고서 (2018.12),20190401000298,남화산업,20190401,
E,요즈마비엠텍,01209574,사업보고서 (2017.12),20190401000294,요즈마비엠텍,20190401,정
K,엠플러스,259630,사업보고서 (2018.12),20190401000293,엠플러스,20190401,
E,신한캐피탈,00137456,사업보고서 (2018.12),20190401000292,신한캐피탈,20190401,연
E,한국실리콘,00697480,사업보고서 (2018.12),20190401000275,한국실리콘,20190401,
K,하이셈,200470,사업보고서 (2018.12),20190401000273,하이셈,20190401,
K,파티게임즈,194510,사업보고서 (2018.12),20190401000259,파티게임즈,20190401,연
E,에스알,01006445,사업보고서 (2018.12),20190401000257,에스알,20190401,
K,윈팩,097800,사업보고서 (2018.12),20190401000255,윈팩,20190401,
K,EMW,079190,사업보고서 (2018.12),20190401000245,EMW,20190401,정연
K,한국제7호스팩,291210,사업보고서 (2018.12),20190401000234,한국제7호스팩,20190401,
K,지노믹트리,228760,사업보고서 (2018.12),20190401000229,지노믹트리,20190401,
E,요즈마비엠텍,01209574,사업보고서 (2018.12),20190401000226,요즈마비엠텍,20190401,정
E,선향,01323263,사업보고서 (2018.12),20190401000224,선향,20190401,
E,유진테크놀로지,01085026,사업보고서 (2018.12),20190401000222,유진테크놀로지,20190401,
K,새로닉스,042600,사업보고서 (2018.12),20190401000221,새로닉스,20190401,연
K,나무기술,242040,사업보고서 (2018.12),20190401000189,나무기술,20190401,연
Y,국제약품,002720,사업보고서 (2018.12),20190401000181,국제약품,20190401,연
E,월드파워텍,00452045,사업보고서 (2018.12),20190401000179,월드파워텍,20190401,
N,스템랩,258540,사업보고서 (2018.12),20190401000171,스템랩,20190401,
E,동양레저,00149451,사업보고서 (2018.12),20190401000165,동양레저,20190401,
E,자일자동차판매,00907323,사업보고서 (2018.12),20190401000162,자일자동차판매,20190401,연
E,비에프테크,01224874,사업보고서 (2018.12),20190401000161,비에프테크,20190401,
Y,삼익THK,004380,사업보고서 (2018.12),20190401000147,삼익THK,20190401,
E,경남기업,00101257,사업보고서 (2018.12),20190401000135,경남기업,20190401,
Y,신영와코루,005800,사업보고서 (2018.12),20190401000131,신영와코루,20190401,연
E,청송사과유통공사,00887685,소액공모법인결산서류 (2018.12),20190401000113,청송사과유통공사,20190401,
E,보루네오가구,00123152,사업보고서 (2018.12),20190401000110,보루네오가구,20190401,연
E,청송사과유통공사,00887685,소액공모법인결산서류 (2017.12),20190401000108,청송사과유통공사,20190401,
K,액트,131400,사업보고서 (2018.12),20190401000104,액트,20190401,연
K,교보8호스팩,307280,[기재정정]사업보고서 (2018.12),20190401000098,교보8호스팩,20190401,
E,청송사과유통공사,00887685,소액공모법인결산서류 (2016.12),20190401000092,청송사과유통공사,20190401,
E,경향신문사,00102399,사업보고서 (2018.12),20190401000091,경향신문사,20190401,
K,에스앤더블류,103230,사업보고서 (2018.12),20190401000083,에스앤더블류,20190401,
E,신한생명보험,00137517,사업보고서 (2018.12),20190401000071,신한생명보험,20190401,연
K,토비스,051360,사업보고서 (2018.12),20190401000069,토비스,20190401,연
E,코리아코스팩,01138717,사업보고서 (2018.12),20190401000067,코리아코스팩,20190401,
