crp_nm,crp_nm_e,crp_nm_i,stock_cd,ceo_nm,crp_cls,crp_no,bsn_no,adr,hm_url,ir_url,phn_no,fax_no,ind_cd,est_dt,acc_mt
(주)노루페인트,NOROO PAINT & COATINGS Co.,LTD,노루페인트,090350,김용기, 진명호(각자 대표이사),Y,1341110142575,1238606034,경기도 안양시 만안구 박달로 351,-,,031-467-6114,031-446-1061,20411,20060602,12
(주)녹원씨엔아이,Nokwon Commercials & Industries, Inc.,녹원씨엔아이,065560,안성호, 정유석 각자대표이사,K,1101110529747,2148113888,경기도 파주시 신촌2로 7-12 -,www.nokwonci.co.kr,,02-2025-6500,02-2025-6511,467,19870507,12
주식회사 코캄,Kokam Co.,Ltd.,코캄,,정충연,E,1101111125403,2298118003,경기도 수원시 장안구 경수대로1220번길 30-78,www.kokam.com,,031-362-0100,031-362-0199,28202,19950203,12
주식회사 제이티비씨,JTBC Co., Ltd,제이티비씨,,김수길, 홍정도,E,1101114560268,1048633995,서울특별시 마포구 상암산로 48-6 (상암동),www.jtbc.co.kr/,,02-751-6000,02-751-6076,60222,20110321,12
에이치디씨현대이피(주),HDC Hyundai Engineering Plastics Co., Ltd.,HDC현대EP,089470,강창균,Y,1650110006768,3118113651,충청남도 당진시 석문면 대호만로 1221-32 현대EP 주식회사,www.hyundai-ep.com,,041-350-0500,041-350-0505,204,20000115,12
(주)삼기오토모티브,SAMKEE AUTOMOTIVE CO.,LTD,삼기오토모티브,122350,김남곤, 김치환,K,1101114249458,1068669145,경기도 평택시 포승읍 도곡리 1217,www.samkee.com,,031-680-0826,02-3781-9650,303,20091224,12
(주)심텍홀딩스,SIMMTECH HOLDINGS Co., Ltd.,심텍홀딩스,036710,박광준,K,1501110006185,3158101652,충청북도 청주시 흥덕구 산단로 73,www.simmtechholdings.co.kr,,043-909-8000,043-269-9048,64992,19870824,12
(주)코아시아,CoAsia Corporation,코아시아,045970,이희준,위종묵(각자 대표이사),K,1101110944622,2148155613,인천광역시 남동구 남동서로 193 (주)비에스이홀딩스,www.bsecm.com,,032-500-1721,031-724-2521,739,19930525,12
(주)CMG제약,CMG Pharmaceutical Co., Ltd.,CMG제약,058820,이주형,K,1350110115846,1348171976,서울특별시 강남구 도산대로66길 14 (청담동),www.skynewpharm.com,,02-3453-8816,031-881-7670,212,20010801,12
오션브릿지(주),OCEANBRIDGE CO., LTD,오션브릿지,241790,이경주,K,1101114809963,1198653348,경기도 안성시 양성면 동항공단길 49,www.oceanbridge.co.kr,,031-8052-9030,031-8052-8103,2049,20120302,12
코리아세븐(주),KOREA SEVEN CO., LTD.,코리아세븐,,정승인,E,1101110899976,2088127413,서울특별시 중구 청계천로 100 (수표동, 시그니쳐타워),www.7-eleven.co.kr,,02-1577-0711,02-2671-8414,4610,19990516,12
CS 홀딩스(주),CS Holdings Co.,Ltd.,CS홀딩스,000590,장원영,Y,1101110008486,2208113170,경상북도 포항시 남구 괴동로 43 (장흥동),www.chosunwelding.com,,02-3459-9363,052-237-3311,64992,19490112,12
