crp_nm,crp_nm_e,crp_nm_i,stock_cd,ceo_nm,crp_cls,crp_no,bsn_no,adr,hm_url,ir_url,phn_no,fax_no,ind_cd,est_dt,acc_mt
(주)오르비텍,Orbitech Co., Ltd.,오르비텍,046120,각자대표 (강상원, 권동혁),K,1101110753734,1128127107,서울특별시 금천구 범안로 1130 8층(가산동, 가산디지털엠파이어),orbitech.co.kr,,02-852-2223,02-861-1298,7291,19910305,12
롯데카드주식회사,LOTTE CARD Co.,ltd.,롯데카드,,김창권,E,1101110641434,1208154231,서울특별시 중구 소월로 3 롯데손해보험빌딩,www.lottecard.co.kr,,2050-2127,2050-2240,64913,19890801,12
(주)유니테스트,UniTestInc.,유니테스트,086390,김종현,K,1311110047356,1298133266,경기도 용인시 기흥구 기곡로 27 (주)유니테스트,www.uni-test.com,,031-205-6111,031-203-5886,29271,20000321,12
(주)휴벡셀,HUVEXEL CO.,LTD.,휴벡셀,212310,허성규,N,1101113559238,2128177552,경기도 성남시 중원구 사기막골로 124, 101~105호(상대원동, 에스케이엔테크노파크 메가센터동),www.diomedical.com,,031-776-3690,031-776-3691,27192,20061110,12
(주)쏠리드,Solid, Inc.,쏠리드,050890,정준, 이승희 (각자대표이사),K,1101111603764,2158172901,경기도 성남시 분당구 판교역로 220 쏠리드스페이스,www.solid.co.kr,,031-627-6000,031-627-6009,2642,19981105,12
(주)셀트리온스킨큐어,Celltrion Skincure Co., Ltd.,셀트리온스킨큐어,,성종훈,E,1101111995723,1058613560,서울특별시 서초구 강남대로 601 (잠원동) 셀트리온스킨큐어빌딩 7층,www.celltrionskincure.com,,02-6200-1100,02-6012-9556,46443,20000615,12
(주)텔레필드,Telefield,Inc.,텔레필드,091440,박노택,K,1101112072330,1208611843,경기도 성남시 분당구 판교로 255 이-301(삼평동, 판교이노밸리),www.telefield.com,,031-730-5900,031-730-5999,26410,20000920,12
한화토탈 주식회사,HANWHA TOTAL PETROCHEMICAL Co., Ltd.,한화토탈,,권혁웅, 장막 오테로 델발,E,1614110013066,3168104477,충청남도 서산시 대산읍 독곶2로 103,www.hanwha-total.com,,02-3415-9334,02-3415-9310,20111,20030801,12
우림기계(주),WOORIM MACHINERY Co., Ltd.,우림기계,101170,한규석,K,1942110039934,6098140851,경상남도 창원시 성산구 남면로 613 우림기계,www.woorimgear.co.kr,,055-260-0300,055-286-1559,29142,20000301,12
(주)매직마이크로,MAGICMICRO CO.,LTD,매직마이크로,127160,장원,K,2801110076686,1278600798,경기도 안산시 단원구 신원로133번길 15 .,www.magicmicro.co.kr,,070-8680-3792,031-363-3920,262,20060811,12
(주)티피씨메카트로닉스,TPC Mechatronics Corporation,TPC,048770,엄주섭, 엄재윤,K,1101110245575,1098114912,인천광역시 서구 갑문2로 39 (오류동) 단해창도클러스터,www.TPCpage.com,,032 -572 -1700,032-573-6665,29142,19790123,12
한국철강(주),KISCO Corp.,한국철강,104700,문종인, 이수하 (각자대표),Y,1942110094318,6098184470,경상남도 창원시 성산구 공단로103번길 12 한국철강(주),www.kisco.co.kr,,055-260-0500,02-705-4525,2411,20080903,12
(주)노바렉스,NOVAREX Co., Ltd.,노바렉스,194700,권석형,K,1501110120399,3178111175,충청북도 청주시 청원구 오창읍 각리1길 94,www.novarex.co.kr,www.novarex.co.kr,02-587-0019,02-587-0021,10797,20081127,12
주식회사 스마트골프,SMART GOLF CO.,LTD.,스마트골프,,박지형,E,1357110098626,1268673769,경기도 의정부시 부용로219번길 45 5층 501호~505호 (용현동, 용현빌딩),www.smartscreen.kr/,,02-3463-3130,02-3463-3110,33999,20140121,12
한전산업개발(주),Korea Electronic Power Industrial Development Co., Ltd,한전산업,130660,홍원의,Y,1101110692875,2038158148,서울특별시 중구 서소문로 115 한산빌딩,www.kepid.co.kr,,02-2250-2700,02)2250-2779,72129,19900411,12
대상(주),DAESANG CORPORATION,대상,001680,임정배, 정홍언 각자 대표이사,Y,1101110327125,1098114886,서울특별시 동대문구 천호대로 26,www.daesang.co.kr,,02-2220-9500,02-2220-9870,1074,19560131,12
(주)옵트론텍,OPTRONTEC Inc.,옵트론텍,082210,홍사관, 임지윤,K,1601110082513,3148126169,경상남도 창원시 의창구 평산로8번길 19-15 (팔용동),www.optrontec.com,,(042)360-1510,031-8038-4711,273,19990526,12
옵티시스(주),OPTICIS CO., LTD.,옵티시스,109080,신현국,K,1301110056407,1248167679,경기도 성남시 분당구 정자일로 166 ,7층(정자동SPG Dream 빌딩),www.opticis.com,,031-719-8033,031-719-8032,26410,19991129,12
성보화학(주),SUNGBO CHEMICAL CO.,LTD,성보화학,003080,윤정선,Y,1147110000402,1288100011,경기도 안산시 단원구 산단로19번길 168 (목내동) 성보화학주식회사,www.sbcc.kr,,02-3789-3800,070-4275-0301,2032,19610106,12
세방(주),SEBANG CO., LTD,세방,004360,최종일,Y,1801110015932,6178103842,부산광역시 남구 북항로 141,www.global.co.kr,,051-630-5300,02-555-9165,49301,19650913,12
에스케이제3호기업인수목적(주),SK NO.3 SPECIAL PURPOSE ACQUISITION CO., LTD.,SK3호스팩,232330,이지영,K,1101115874072,1138800264,서울특별시 영등포구 국제금융로8길 31 여의도동, 에스케이증권빌딩,,,02-3773-8373,0237738301,661,20151028,12
주식회사 에스엔피월드,S&P WORLD LTD.,에스엔피월드,263920,이종국, 지영주 (각자 대표이사),K,1201110290289,1378146699,인천광역시 서구 원적로7번길 29 (주)에스엔피월드,www.snpworld.com,,032-584-0789,032-584-0787,33999,20020625,12
케이티파워텔 주식회사,Korea Telecom Powertel,케이티파워텔,,김우식,E,1101110414344,1168137548,서울특별시 양천구 목동서로 201 KT정보전산센터 19층 KT파워텔,www.ktp.co.kr,,02-2166-0130,02-2166-0114,61220,19851230,12
(주)엄지하우스,EOMJIHOUSE Co., Ltd,엄지하우스,224810,정재호, 손기근,N,1101110427074,2298105172,서울특별시 강남구 테헤란로28길 25-,www.eomjihouse.co.kr,,02-550-7840,02-550-7891,424,19860515,12
(주)지오엠씨,GEOMC CO., LTD.,지오엠씨,033030,임영현,E,1101110418940,2208128009,서울특별시 금천구 디지털로 130 (가산동, 남성프라자(에이스9차)) 514호,www.geomc.co.kr,,02-586-6874,02-586-8736,26,19860226,12
(주)큐로,CURO CO., LTD.,큐로,015590,서상훈,Y,1812110002275,6108102779,울산광역시 남구 처용로 260-37,www.curo.co.kr,,052-278-9000,052-278-9150,29176,19810930,12
(주)대한과학,DAIHAN SCIENTIFIC CO., Ltd,대한과학,131220,서정구,서현정(공동대표),K,1101110948997,1018125905,강원도 원주시 지정면 신평석화로 326 대한과학,www.daihansci.co.kr,http://www.daihan-sci.com/,033-737-7500,033-737-7509,4659,19930619,12
우수AMS(주),WOOSU AMS CO., LTD.,우수AMS,066590,전종인,K,1943110003995,6088121958,경남 창원시 신촌동 192-4번지,woosu.co.kr,,(055)2745011,(055)274-5016,303,19950613,12
(주)솔트웍스,Soltworks Co., Ltd.,솔트웍스,230980,김기호,K,1101115868041,7218600251,서울특별시 구로구 디지털로33길 11 405호/1204호 (구로동, 에이스테크노타워8차),없음,,02-6915-5342,02-6915-5804,582,20151022,12
(주)세아제강,SeAH Steel Corporation,세아제강,306200,이휘령, 김석일,Y,1101116860640,5688601173,서울특별시 마포구 양화로 45,www.seahsteel.co.kr,,02-6970-1000,02-6970-1198,2413,20180903,12
상신브레이크(주),SANGSIN BRAKE,상신브레이크,041650,김효일, 박세종,Y,1741110000527,5148103617,대구광역시 달성군 논공읍 논공중앙로33길 10,www.sangsin.com,,053-616-9555,053-616-9559,303,19750813,12
