crp_nm,crp_nm_e,crp_nm_i,stock_cd,ceo_nm,crp_cls,crp_no,bsn_no,adr,hm_url,ir_url,phn_no,fax_no,ind_cd,est_dt,acc_mt
코웰패션(주),COWELL FASHION CO.,LTD,코웰패션,033290,최용석, 임종민,K,1101110166127,1248122987,경기 수원시 팔달구 원천동 381,www.pilkor.co.kr,www.cowellfashion.co.kr,031 -217 -2500,031-8060-0799,144,19740611,12
(주)에듀파트너,Edupartner Co., Ltd.,에듀파트너,208890,최용섭, 김현균,N,1101114073188,1018646147,서울특별시 마포구 양화로 125, 8층(서교동,경남관광빌딩),www.thepartner.co.kr,,02-6337-5410,0263375429,857,20090406,12
(주)나라소프트,NARASOFT Co.,Ltd.,나라소프트,288490,김호상,N,1101112669369,2148727142,서울특별시 서초구 강남대로 163, 2층 (양재동, 혜인빌딩),www.narasoft.com,,02-3487-7988,,582,20021209,12
큐캐피탈파트너스(주),Q Capital Partners Co., Ltd.,큐캐피탈,016600,황희연,K,1101110339691,2208108089,서울특별시 강남구 테헤란로 30611층(역삼동. 카이트타워),www.qcapital.co.kr,,02-538-2411,02-538-2415,649,19821217,12
태양금속공업(주),TAEYANG METAL INDUSTRIAL CO.,LTD,태양금속공업,004100,한우삼. 한하워드성(각자 대표이사),Y,1101110003212,1348100016,경기도 안산시 단원구 해봉로 212 (성곡동),www.taeyangmetal.com,,031-490-5500,0314922112,303,19540301,12
(주)에스지충방,SG CHOONGBANG CO., LTD,SG충방,001380,이의범,Y,1615110000037,3148108778,충청남도 예산군 예산읍 창말로 75 (주)SG충방,www.sgchoongbang.com,,070-5038-5498,070-4369-2409,303,19541222,12
알서포트(주),RSUPPORT Co., Ltd.,알서포트,131370,서형수,K,1101114398859,1148682265,서울특별시 송파구 위례성대로 10 방이동, 에스타워 9층, 10층, 11층, 12층,www.rsupport.com,http://www.rsupport.com/AboutUs/Pubdisclosures,070-7011-3900,02-414-2721,58222,20100722,12
(주)진도,JINDO.CO.,LTD,진도,088790,임영준,Y,1101113411024,1198187523,서울특별시 금천구 가산디지털1로 75,www.jindofand.co.kr,,02-850-8270,02-864-7678,467,20060303,12
조선선재(주),CHOSUN WELDING POHANG Co., Ltd,조선선재,120030,장원영,Y,1717111186312,5068170186,경상북도 포항시 남구 괴동로 43 (장흥동),www.chosunwelding.com,,054-289-8200,02-553-6117,2599,20100101,12
진원생명과학(주),GeneOne Life Science, Inc.,진원생명과학,011000,박영근,Y,1101110191562,1208114898,서울특별시 강남구 학동로 343 더피나클강남 10층,www.genels.com,,02-527-0600,02-557-6784,212,19760127,12
쿠쿠홀딩스(주),Cuckoo Holdings Co.,Ltd,쿠쿠홀딩스,192400,구본학,Y,1845110000634,6218102895,경상남도 양산시 유산공단2길 14(교동),www.cuckoo.co.kr,,055-380-0734,0553890709,649,19781115,12
(주)원익큐브,WONIK CUBE Corp.,원익큐브,014190,문경수,K,1101110425432,2208105078,경기도 성남시 분당구 판교로255번길 20 원익빌딩,www.hunus.co.kr,,02-530-8800,031-8038-9303,46739,19790612,12
(주)대호에이엘,DAEHO AL Co.,Ltd.,대호에이엘,069460,노영호,Y,1701110233338,5148146009,대구광역시 달성군 논공읍 논공중앙로 211,www.daeho-al.com,,053-610-5400,053-610-5428,24222,20021001,12
대원미디어(주),DAEWON MEDIA CO.,LTD.,대원미디어,048910,정욱, 정동훈,K,1101110222151,1068103487,서울특별시 용산구 한강대로23길 55 6층 1-1호(한강로3가,현대아이파크몰 테마파크),daewonmedia.com,,02-6373-3000,02-790-6084,467,19771206,12
(주)한국코퍼레이션,HANKOOK Corporation Inc.,한국코퍼레이션,050540,김현겸, 성상윤(각자 대표이사),K,1101110793657,1208133916,서울특별시 중구 소월로2길 30 남산트라팰리스,www.mpc.co.kr,,02-3401-4114,02-3402-3551,75991,19910724,12
(주)유아이디,U.I.DISPLAY CO.,LTD.,유아이디,069330,박종수 (대표이사),K,1647110001608,3078102854,충청북도 청주시 청원구 오창읍 양청송대길 51 -,www.uidkorea.co.kr,,(041)862-7576,0448622467,26211,19900518,12
동성화인텍,DONGSUNG FINETEC CO., Ltd,동성화인텍,033500,류완수,K,1101110404361,2148108385,부산광역시 사하구 신산로 99 -,www.dsfinetec.co.kr,,02-6190-8500,02-6190-7077,201,19850731,12
현대코퍼레이션홀딩스(주),HYUNDAI CORPORATION HOLDINGS Co.,Ltd.,현대코퍼레이션홀딩스,227840,장안석,Y,1101115851559,8138800272,서울특별시 종로구 율곡로2길 25,www.hyundaicorpholdings.com,,02-390-1568,02-390-1599,463,20151002,12
(주)쌍방울,SBW,쌍방울,102280,방용철,Y,1101113891169,1208727416,서울특별시 중구 퇴계로 390 -,www.sbw.co.kr,,02-3485-6000,02-3485-6223,14120,20080502,12
(주)에스제이케이,SJK CO.,LTD.,에스제이케이,080440,이승열, 김민강 (각자대표),K,1615110016357,3128119788,서울특별시 금천구 벚꽃로 278 SJ테크노빌 205호,SEJIN.COM,,02-2106-2309,02-866-4381,303,19950209,12
(주)에스엘에스바이오,SLS BIO Co., Ltd,에스엘에스바이오,246250,이영태,N,1101113602524,2208741848,경기도 수원시 영통구 창룡대로 260 광교센트럴비즈타워 7층,www.slabs.co.kr,,031-275-5522,031-283-9080,729,20070117,12
화일약품(주),HWAIL PHARM. CO., LTD,화일약품,061250,조중명,박필준,K,1344110000719,1248127624,경기도 화성시 향남읍 제약공단3길 57,www.hwail.com,,031-628-3520,02)561-4897,212,19801118,12
(주)다날,DANAL CO., LTD.,다날,064260,최병우,K,1101111435810,1138144055,경기도 성남시 분당구 분당로 55, 9층(서현동, 분당퍼스트타워),www.danal.co.kr,,031-697-1004,031-697-1460,582,19970704,12
하나금융투자 주식회사,Hana Financial Investment Co., Ltd.,하나금융투자,,이진국,E,1101110208169,1168105992,서울특별시 영등포구 의사당대로 82,www.hanaw.com,,02)3771-7114,02)3771-7080,66121,19770118,12
(주)SBS,SEOUL BROADCASTING SYSTEM,SBS,034120,박정훈(단독대표),Y,1101110731483,1168139357,서울특별시 양천구 목동서로 161,www.sbs.co.kr,,02-2061-0006,02-2113-4749,60210,19901114,12
부국철강(주),Bookook Steel,부국철강,026940,남상규/손일호,Y,2001110001407,4108105725,광주광역시 광산구 하남산단9번로 90 (안청동),www.bks.co.kr,,062-954-3806,062 -954 -3818,2413,19760823,12
(주)에스티큐브,STCUBE,에스티큐브,052020,정현진,K,1243110025472,1308126197,서울특별시 강남구 영동대로 511 2201(삼성동, 무역센터 트레이드타워),www.stcube.com,www.stcube.com,02-551-3370,02-551-3374,262,19890816,12
고려개발(주),KOREA DEVELOPMENT CORPORATION,고려개발,004200,곽수윤,Y,1101110052037,1068144682,경기도 용인시 수지구 풍덕천로 112 501(풍덕천동, 하나프라자빌딩),www.kdc.co.kr,,031-420-9000,031-420-9051,41221,19650331,12
(주)이아이디,E Investment&Development CO.,LTD,이아이디,093230,김원욱,Y,1752110014707,5138127033,경기도 광주시 곤지암읍 경충대로 425 4층,www.eid21.co.kr,,031-8027-8855,02-581-2533,467,20020627,12
주식회사 한솔교육,HANSOL EDUCATION Co., Ltd.,한솔교육,,변재용,E,1101110793061,1058148593,서울특별시 마포구 월드컵북로 361 26층,www.eduhansol.co.kr,,02)2001-5500,02)2001-5696,85502,19910719,12
유니퀘스트(주),UNIQUEST COPORATION,유니퀘스트,077500,앤드류김,Y,1101111216757,1208156132,경기도 성남시 분당구 황새울로 314 (서현동,유니퀘스트빌딩),www.uniquest.co.kr,,031-708-9988,031-708-6598,4659,19951125,12
(주)한국토지신탁,Korea Real Estate Investment & Trust Co., Ltd,한국토지신탁,034830,차정훈,최윤성(각자대표),Y,1101111258220,1208163986,서울특별시 강남구 테헤란로 309,www.koreit.co.kr,,0234511181,- -,642,19960404,12
(주)쎄노텍,CENOTEC Co., Ltd,쎄노텍,222420,이승호, 허명구 (각자),K,1101115733509,6768600117,경상남도 함안군 대산면 옥렬1길 112 -,www.cenotec.com,,055-584-9183,02-3774-1339,23993,20150527,12
비에이치아이주식회사,BHI Co., LTD.,비에이치아이,083650,우종인, 조원래 (각자 대표이사),K,1943110006262,6158108287,경상남도 함안군 군북면 장백로 122,www.bhi.co.kr,,055-585-3800,055-585-3805,29176,19980612,12
(주)인터로조,INTEROJO CO. LTD.,인터로조,119610,노시철,K,1313110033856,1258134657,경기도 평택시 산단로15번길 28,interojo.com,,031-611-4760,031-611-4765,273,20001025,12
(주)한국카본,HANKUK CARBON CO.,LTD,한국카본,017960,조문수,Y,1801110054691,6158101585,경상남도 밀양시 부북면 춘화로 85,www.hcarbon.com,,055-350-8888,02-714-8167,2512,19840917,12
메디키네틱스 (주),Medi Kinetics Co., Ltd.,메디키네틱스,,최선덕,E,1159110054727,1288160678,경기도 평택시 청북읍 한산길 44,www.medicalpig.com,,031-683-0643,031-683-2315,27192,20010705,12
(주)요즈마비엠텍,YOZMA BMTECH CO,LTD.,요즈마비엠텍,,한승무,E,1801110263630,6038135874,경기도 성남시 중원구 사기막골로 137 (상대원동, 중앙인더스피아5차) 1001호,www.yozma-bmtech.com.com,,031-739-5544,031-739-5545,27111,19980808,12
(주)제일기획,Cheil Worldwide Inc,제일기획,030000,유정근,Y,1101110139017,2028145960,서울특별시 용산구 이태원로 222 제일기획,www.cheil.co.kr,,02-3780-2114,02-3780-2462,71310,19730117,12
와이더블유 주식회사,YW COMPANY LIMITED,YW,051390,우병일,K,1311110021699,1298117121,경기도 성남시 분당구 야탑남로 280 801(야탑동,분당테크노파크씨동),www.ywtc.com,,(031)703-7118,031-703-6966,468,19960726,12
(주)크라운해태홀딩스,CROWNHAITAI Holdings CO.,LTD,크라운해태홀딩스,005740,윤석빈,Y,1101110093552,2168100486,서울특별시 용산구 한강대로72길 3,www.crown.co.kr,,02-791-9123,02-791-9119,64992,19680918,12
(주)하이비젼시스템,HyVISION SYSTEM.INC,하이비젼시스템,126700,최 두 원,K,1101114324127,1048627794,경기도 성남시 중원구 둔촌대로 527 -,www.hyvision.co.kr,,031-735-1573,031-735-1574,27302,20100408,12
해성디에스(주),HAESUNG DS Co.,Ltd.,해성디에스,195870,조돈엽,Y,1942110223694,6098618048,경상남도 창원시 성산구 웅남로 726,www.haesungds.com,,07047610000,070-4761-0111,262,20140306,12
에스지에이(주),SGA Co.,Ltd,SGA,049470,은유진,K,1101111487267,1098152385,서울특별시 송파구 법원로11길 25 에이동 801호(문정동, 에이치비지니스파크),www.sgacorp.kr,,070-7308-9319,02-576-1811,582,19971121,12
(주)딜리,DILLI ILLUSTRATE INC.,,딜리,131180,최근수,K,1154110011579,1278165587,경기도 동두천시 강변로702번길 30,-,,031-860-5500,031-860-5590,26323,19960215,12
(주)성광벤드,SUNG KWANG BEND CO., LTD.,성광벤드,014620,안 재 일,K,1801110036425,6038107330,부산광역시 강서구 녹산산단262로 26,www.skbend.com,,051-3300-200,051-330-0330,24133,19800223,12
(주)뉴보텍,NUVOTEC Co., Ltd,뉴보텍,060260,황문기,K,1412110004279,2248104616,강원도 원주시 태장공단길 42-6 뉴보텍(주),www.nuvotec.co.kr,,033-734-6001,02-485-0808,22211,19901101,12
지에스건설(주),GS Engineering & Construction Corp,GS건설,006360,허창수, 임병용(각자 대표이사),Y,1101110002694,1048118121,서울특별시 종로구 종로 33 그랑서울,www.gsconst.co.kr/,,02-2154-1112,02-2154-0807,4111,19691219,12
(주)크라운제과,CROWN CONFECTIONERY CO.,LTD,크라운제과,264900,장완수,Y,1101116332590,4118700569,서울특별시 용산구 한강대로72길 3(남영동),www.crown.co.kr,,02-791-9123,02-791-9119,10713,20170302,12
(주)시디즈,Sidiz, Inc.,시디즈,134790,대표이사 손태일,Y,1101114493344,2158748121,경기도 평택시 세교산단로 67-20 (주)시디즈,www.sidiz.com,,02-3400-6339,02-3402-0713,32029,20101216,12
(주)퍼시스,FURSYS INC,퍼시스,016800,대표이사 이종태 대표이사 배상돈,Y,1101110345630,2158120534,서울특별시 송파구 오금로 311 오금동,www.fursys.co.kr,,02-3400-6386,02) 443-3814,32029,19830311,12
(주)한류에이아이센터,Hanryu A.I. Center Co.,Ltd.,한류AI센터,222810,양성우,홍성민 각자대표,K,1101115745520,3278600082,서울특별시 성동구 왕십리로 58 포휴 제10층 (성수동1가 656-3),www.bionicsgene.co.kr,,02-3497-8900,02-3771-9643,582,20150608,12
한국복합물류(주),Korea Integrated Freight Terminal CO.,LTD,한국복합물류,,배해봉,E,1101110853576,1238140376,경기도 군포시 번영로 82,www.kift.co.kr,,02-700-0209,20-3782-0793,52913,19920424,12
(주)인프라웨어,INFRAWAREInc,인프라웨어,041020,곽민철, 이해석, 이홍구,K,1101111398117,2208143747,서울특별시 금천구 가산디지털1로 19 대륭테크노타운18차 20층,www.infraware.co.kr,,02-537-0538,02-535-0534,58221,19970407,12
(주)팬젠,Pangen Biotech Inc.,팬젠,222110,김영부, 윤재승,K,1311110248194,1298642227,경기도 수원시 영통구 신원로 306, 2동 4층(원천동 영통이노플렉스),www.pangen.com,,031-733-9165,031-733-9167,212,20100129,12
휴켐스(주),HUCHEMSFINECHEMICALCORPORATION,휴켐스,069260,최금성,Y,1101112611906,2018176228,서울특별시 중구 퇴계로 173 19층,www.huchems.com,,02-2262-0600,02-2273-6014,2049,20020915,12
삼양통상(주),SAMYANGTONGSANG LTD,삼양통상,002170,허남각,Y,1101110033433,2208130276,서울특별시 강남구 테헤란로 301(역삼동) 삼정개발빌딩 6층,www.samyangts.com,,02-3453-3961,02-3453-0756,15110,19571012,12
그린케미칼(주),GREEN CHEMICAL CO.,LTD.,그린케미칼,083420,양준화,Y,1614110012349,3168103672,충남 서산시 대산읍 독곳리 411-13,www.korgc.com,,041-661-5000,041-661-5079,20421,20030101,12
(주)캔서롭,Cancer Rop Co., Ltd.,캔서롭,180400,이왕준,K,1101112262890,1018171321,서울특별시 금천구 디지털로 173, 1003,www.cancerrop.com,,02-890-8700,02-890-8702,729,20010616,12
(주)인스코비,Inscobee, Inc,인스코비,006490,유인수,Y,1101110018592,1198103654,서울특별시 금천구 디지털로9길 47 (가산동, 한신아이티타워2차306-2호),www.inscobee.com,,070-7510-3448,02-544-9641,612,19700727,12
(주)에스와이제이,SYJ Co., Ltd.,에스와이제이,251540,김소영,E,1201110703597,1228638794,서울특별시 금천구 가산디지털1로 119 에이동 301호-307호(가산동, 에스케이트윈타워),syj.biz,,070-8766-3228,,141,20140404,12
(주)성우하이텍,SUNGWOO HITECH CO., LTD,성우하이텍,015750,이명근, 이문용(각자대표),K,1801110042612,6218114445,부산광역시 기장군 정관면 농공길 2-9 (주)성우하이텍,www.swhitech.co.kr,,070-7477-5450,0517283516,303,19811228,12
(주)엔텔스,nTelsCo.,Ltd.,엔텔스,069410,심재희,K,1101112029456,2208193121,서울특별시 강남구 학동로 401 15층(청담동, 금하빌딩),www.ntels.com,,02-3218-1200,02-3218-1299,58221,20000719,12
영진약품(주),YUNGJIN PHARM. CO., LTD,영진약품,003520,이재준,Y,1101110043127,2188100352,서울특별시 송파구 올림픽로35다길 13 국민연금 잠실사옥 2~3층,www.yungjin.co.kr,,02-2041-8200,02-2041-8201,21210,19620716,12
(주)큐로컴,CUROCOM Co.,Ltd,큐로컴,040350,조중기,K,1101111407314,2158162801,서울특별시 강남구 테헤란로77길 7 (삼성동, 동원빌딩 4층),www.curocom.com,,02-2141-3000,02-2141-3097,620,19970424,12
(주)잇츠한불,IT'S HANBUL CO., LTD.,잇츠한불,226320,홍동석,Y,1101113394048,2208723971,서울특별시 강남구 학동로 311 주식회사 잇츠한불,www.itshanbul.com,,02-3450-0343,02-563-9107,20423,20060207,12
