crp_cls,crp_nm,crp_cd,rpt_nm,rcp_no,flr_nm,rcp_dt,rmk
K,오르비텍,046120,사업보고서 201812,20190401002480,오르비텍,20190401,연
E,롯데카드,00219051,기재정정사업보고서 201812,20190401002478,롯데카드,20190401,연
K,유니테스트,086390,사업보고서 201812,20190401002479,유니테스트,20190401,연
N,휴벡셀,212310,사업보고서 201812,20190401002473,휴벡셀,20190401,
K,쏠리드,050890,사업보고서 201812,20190401002472,쏠리드,20190401,연
E,셀트리온스킨큐어,00394583,사업보고서 201812,20190401002465,셀트리온스킨큐어,20190401,
K,텔레필드,091440,사업보고서 201812,20190401002461,텔레필드,20190401,연
E,한화토탈,00461593,사업보고서 201812,20190401002458,한화토탈,20190401,연
K,우림기계,101170,사업보고서 201812,20190401002456,우림기계,20190401,
K,매직마이크로,127160,사업보고서 201812,20190401002454,매직마이크로,20190401,연
K,TPC,048770,사업보고서 201812,20190401002451,TPC,20190401,연
Y,한국철강,104700,사업보고서 201812,20190401002449,한국철강,20190401,
K,노바렉스,194700,사업보고서 201812,20190401002448,노바렉스,20190401,연
E,스마트골프,01322529,사업보고서 201812,20190401002447,스마트골프,20190401,
Y,한전산업,130660,사업보고서 201812,20190401002446,한전산업,20190401,연
Y,대상,001680,사업보고서 201812,20190401002441,대상,20190401,연
K,옵트론텍,082210,사업보고서 201812,20190401002438,옵트론텍,20190401,연
K,옵티시스,109080,사업보고서 201812,20190401002437,옵티시스,20190401,
Y,성보화학,003080,사업보고서 201812,20190401002423,성보화학,20190401,
Y,세방,004360,첨부정정사업보고서 201812,20190401002421,세방,20190401,연
K,SK3호스팩,232330,사업보고서 201812,20190401002419,SK3호스팩,20190401,
K,에스엔피월드,263920,사업보고서 201812,20190401002413,에스엔피월드,20190401,연
E,케이티파워텔,00187868,사업보고서 201812,20190401002408,케이티파워텔,20190401,
N,엄지하우스,224810,사업보고서 201812,20190401002404,엄지하우스,20190401,
E,지오엠씨,00232317,사업보고서 201812,20190401002398,지오엠씨,20190401,
Y,큐로,015590,사업보고서 201812,20190401002397,큐로,20190401,
K,대한과학,131220,사업보고서 201812,20190401002396,대한과학,20190401,연
K,우수AMS,066590,사업보고서 201812,20190401002390,우수AMS,20190401,연
K,솔트웍스,230980,사업보고서 201812,20190401002389,솔트웍스,20190401,연
Y,세아제강,306200,사업보고서 201812,20190401002387,세아제강,20190401,
Y,상신브레이크,041650,사업보고서 201812,20190401002381,상신브레이크,20190401,연
Y,새론오토모티브,075180,사업보고서 201812,20190401002379,새론오토모티브,20190401,연
K,리노스,039980,사업보고서 201812,20190401002377,리노스,20190401,연
E,피피아이,00403766,사업보고서 201812,20190401002373,피피아이,20190401,
K,그랜드백화점,019010,사업보고서 201812,20190401002367,그랜드백화점,20190401,연
E,케이비캐피탈,00161408,사업보고서 201812,20190401002363,케이비캐피탈,20190401,연
K,광진윈텍,090150,사업보고서 201812,20190401002361,광진윈텍,20190401,연
Y,롯데정밀화학,004000,사업보고서 201812,20190401002360,롯데정밀화학,20190401,연
Y,현대차증권,001500,사업보고서 201812,20190401002358,현대차증권,20190401,연
Y,애경유화,161000,사업보고서 201812,20190401002356,애경유화,20190401,연
Y,한전기술,052690,사업보고서 201812,20190401002353,한전기술,20190401,
Y,삼화전자공업,011230,사업보고서 201812,20190401002352,삼화전자공업,20190401,연
K,SK4호스팩,307070,사업보고서 201812,20190401002350,SK4호스팩,20190401,
Y,아모레퍼시픽,090430,사업보고서 201812,20190401002349,아모레퍼시픽,20190401,연
K,아이씨케이,068940,사업보고서 201812,20190401002345,아이씨케이,20190401,연
K,엘오티베큠,083310,사업보고서 201812,20190401002331,엘오티베큠,20190401,연
Y,LIG넥스원,079550,사업보고서 201812,20190401002321,LIG넥스원,20190401,정
K,바른테크놀로지,029480,사업보고서 201812,20190401002320,바른테크놀로지,20190401,연
K,테크윙,089030,사업보고서 201812,20190401002315,테크윙,20190401,연
K,정다운,208140,사업보고서 201812,20190401002306,정다운,20190401,연
Y,효성,004800,사업보고서 201812,20190401002305,효성,20190401,연
K,포메탈,119500,사업보고서 201812,20190401002303,포메탈,20190401,
E,엘에이티,01361245,사업보고서 201812,20190401002302,엘에이티,20190401,
K,동운아나텍,094170,사업보고서 201812,20190401002300,동운아나텍,20190401,
Y,한솔로지스틱스,009180,사업보고서 201812,20190401002294,한솔로지스틱스,20190401,연
K,큐리언트,115180,사업보고서 201812,20190401002292,큐리언트,20190401,
K,PN풍년,024940,사업보고서 201812,20190401002291,PN풍년,20190401,
K,오스템임플란트,048260,사업보고서 201812,20190401002290,오스템임플란트,20190401,연
E,엔에스스튜디오,01076037,사업보고서 201812,20190401002288,엔에스스튜디오,20190401,
K,네오펙트,290660,사업보고서 201812,20190401002286,네오펙트,20190401,연
