crp_cls,crp_nm,crp_cd,rpt_nm,rcp_no,flr_nm,rcp_dt,rmk
E,신세계센트럴시티,00200938,사업보고서 201812,20190401004395,신세계센트럴시티,20190401,연
N,다이노나,086080,사업보고서 201812,20190401004394,다이노나,20190401,
K,오스템,031510,사업보고서 201812,20190401004391,오스템,20190401,연
Y,현대중공업,009540,사업보고서 201812,20190401004390,현대중공업,20190401,연
Y,한국특수형강,007280,사업보고서 201812,20190401004388,한국특수형강,20190401,
N,테크엔,308700,사업보고서 201812,20190401004387,테크엔,20190401,
K,액토즈소프트,052790,사업보고서 201812,20190401004386,액토즈소프트,20190401,연
K,SG,255220,사업보고서 201812,20190401004385,SG,20190401,연
K,파라텍,033540,사업보고서 201812,20190401004384,파라텍,20190401,연
Y,풍산,103140,사업보고서 201812,20190401004382,풍산,20190401,연
K,인베니아,079950,사업보고서 201812,20190401004381,인베니아,20190401,정연
Y,일신석재,007110,사업보고서 201812,20190401004379,일신석재,20190401,
K,마이크로프랜드,147760,기재정정사업보고서 201812,20190401004376,마이크로프랜드,20190401,
Y,이수페타시스,007660,사업보고서 201812,20190401004375,이수페타시스,20190401,연
K,로보스타,090360,사업보고서 201812,20190401004374,로보스타,20190401,연
K,제로투세븐,159580,사업보고서 201812,20190401004371,제로투세븐,20190401,연
K,삼성스팩2호,291230,기재정정사업보고서 201812,20190401004370,삼성스팩2호,20190401,
K,아시아경제,127710,사업보고서 201812,20190401004369,아시아경제,20190401,연
K,덱스터,206560,사업보고서 201812,20190401004368,덱스터,20190401,연
Y,영풍,000670,사업보고서 201812,20190401004367,영풍,20190401,연
Y,자화전자,033240,사업보고서 201812,20190401004365,자화전자,20190401,연
K,오이솔루션,138080,사업보고서 201812,20190401004364,오이솔루션,20190401,연
K,대양제지,006580,사업보고서 201812,20190401004363,대양제지,20190401,연
Y,사조산업,007160,사업보고서 201812,20190401004361,사조산업,20190401,연
Y,백광소재,014580,사업보고서 201812,20190401004359,백광소재,20190401,연
K,가온미디어,078890,사업보고서 201812,20190401004354,가온미디어,20190401,연
Y,기아자동차,000270,사업보고서 201812,20190401004356,기아자동차,20190401,연
E,테라리소스,00350738,사업보고서 201812,20190401004355,테라리소스,20190401,연
Y,하나금융지주,086790,사업보고서 201812,20190401004351,하나금융지주,20190401,연
Y,갤럭시아에스엠,011420,사업보고서 201812,20190401004346,갤럭시아에스엠,20190401,연
K,SK바이오랜드,052260,사업보고서 201812,20190401004345,SK바이오랜드,20190401,연
Y,LG전자,066570,사업보고서 201812,20190401004344,LG전자,20190401,연
E,에너지세븐,01170351,사업보고서 201812,20190401004343,에너지세븐,20190401,연
K,피앤텔,054340,사업보고서 201812,20190401004341,피앤텔,20190401,연
K,에프엔씨엔터,173940,사업보고서 201812,20190401004337,에프엔씨엔터,20190401,연
K,전파기지국,065530,사업보고서 201812,20190401004338,전파기지국,20190401,
Y,GS,078930,사업보고서 201812,20190401004336,GS,20190401,연
Y,서연이화,200880,사업보고서 201812,20190401004335,서연이화,20190401,정연
E,SK건설,00131799,사업보고서 201812,20190401004333,SK건설,20190401,정연
K,알테오젠,196170,사업보고서 201812,20190401004330,알테오젠,20190401,연
K,와이아이케이,232140,사업보고서 201812,20190401004331,와이아이케이,20190401,연
K,동양에스텍,060380,사업보고서 201812,20190401004327,동양에스텍,20190401,연
E,사우스케이프,00970268,사업보고서 201812,20190401004326,사우스케이프,20190401,
K,신일제약,012790,사업보고서 201812,20190401004325,신일제약,20190401,
Y,세아제강지주,003030,사업보고서 201812,20190401004323,세아제강지주,20190401,연
K,퓨쳐스트림네트웍스,214270,기재정정사업보고서 201812,20190401004321,퓨쳐스트림네트웍스,20190401,연
E,케이디비생명보험,00104069,사업보고서 201812,20190401004320,케이디비생명보험,20190401,연
K,아트라스BX,023890,사업보고서 201812,20190401004319,아트라스BX,20190401,연
K,리드코프,012700,사업보고서 201812,20190401004318,리드코프,20190401,연
E,한국수력원자력,00382001,사업보고서 201812,20190401004317,한국수력원자력,20190401,연
Y,대웅,003090,사업보고서 201812,20190401004314,대웅,20190401,연
Y,현대위아,011210,사업보고서 201812,20190401004312,현대위아,20190401,연
Y,신세계,004170,사업보고서 201812,20190401004311,신세계,20190401,연
E,두원중공업,00119724,사업보고서 201812,20190401004308,두원중공업,20190401,연
Y,신한지주,055550,사업보고서 201812,20190401004307,신한지주,20190401,연
E,한국중부발전,00396518,사업보고서 201812,20190401004305,한국중부발전,20190401,
Y,SK케미칼,285130,사업보고서 201812,20190401004303,SK케미칼,20190401,연
Y,HSD엔진,082740,사업보고서 201812,20190401004300,HSD엔진,20190401,연
Y,현대글로비스,086280,사업보고서 201812,20190401004298,현대글로비스,20190401,연
K,이엠코리아,095190,사업보고서 201812,20190401004296,이엠코리아,20190401,연
Y,한국종합기술,023350,사업보고서 201812,20190401004295,한국종합기술,20190401,
Y,현대해상,001450,기재정정반기보고서 201806,20190401004294,현대해상,20190401,
Y,KPX홀딩스,092230,사업보고서 201812,20190401004292,KPX홀딩스,20190401,연
K,에이텍,045660,사업보고서 201812,20190401004289,에이텍,20190401,
K,현대정보기술,026180,사업보고서 201812,20190401004288,현대정보기술,20190401,연
N,질경이,233990,사업보고서 201812,20190401004285,질경이,20190401,연
K,이원컴포텍,088290,사업보고서 201812,20190401004283,이원컴포텍,20190401,연
E,오상헬스케어,00260657,사업보고서 201812,20190401004282,오상헬스케어,20190401,
K,골프존,215000,사업보고서 201812,20190401004279,골프존,20190401,연
Y,삼성화재해상보험,000810,사업보고서 201812,20190401004278,삼성화재해상보험,20190401,연
K,네패스,033640,사업보고서 201812,20190401004277,네패스,20190401,연
K,웨이브일렉트로,095270,사업보고서 201812,20190401004273,웨이브일렉트로,20190401,연
K,비아트론,141000,사업보고서 201812,20190401004272,비아트론,20190401,연
